Time,Pre,Actual
2019/12/7,8.985392,9.15625
2019/12/8,8.84857,9.0625
2019/12/9,8.607542,9.078125
2019/12/10,8.57963,9.1875
2019/12/11,8.697301,9.640625
2019/12/12,9.279116,10.6640625
2019/12/13,10.749839,10.8203125
2019/12/14,10.951455,12.4609375
2019/12/15,13.903226,14.015625
2019/12/16,15.551217,13.9375
2019/12/17,14.084876,12.90625
2019/12/18,12.808175,11.9375
2019/12/19,11.238463,11
2019/12/20,10.4835615,10.28125
2019/12/21,9.918588,9.75
2019/12/22,9.292878,9.390625
2019/12/23,8.930514,9.09375
2019/12/24,8.889526,8.875
2019/12/25,10.315673,9.15625
2019/12/26,9.646586,8.90625
2019/12/27,8.624974,8.640625
2019/12/28,8.280487,8.515625
2019/12/29,8.385744,8.421875
2019/12/30,8.5453,8.34375
2019/12/31,8.191879,8.265625
2020/1/1,8.241989,8.1875
2020/1/2,8.125143,8.109375
2020/1/3,8.114704,8.046875
2020/1/4,7.8781033,8
2020/1/5,8.293059,8.90625
2020/1/6,9.497334,9.453125
2020/1/7,8.761162,9.109375
2020/1/8,8.399481,8.671875
2020/1/9,8.070405,8.296875
2020/1/10,7.5609665,8.03125
2020/1/11,7.156313,7.8125
2020/1/12,7.2376766,7.640625
2020/1/13,7.3181486,7.546875
2020/1/14,7.1319637,7.46875
2020/1/15,6.966237,7.40625
2020/1/16,6.571312,7.328125
2020/1/17,6.6359596,7.265625
2020/1/18,6.847908,7.1875
2020/1/19,6.7569532,7.125
2020/1/20,6.7507944,7.046875
2020/1/21,6.841861,7.046875
2020/1/22,6.961363,7.15625
2020/1/23,7.348794,7.53125
2020/1/24,7.9227905,7.5625
2020/1/25,7.2581625,7.25
2020/1/26,6.8933353,7
2020/1/27,6.5795794,6.84375
2020/1/28,6.468914,6.71875
2020/1/29,6.4971523,6.65625
2020/1/30,6.5596533,6.59375
2020/1/31,6.7477493,6.5625
2020/2/1,7.041071,7.5625
2020/2/2,8.4835005,7.75
2020/2/3,7.6532116,7.3125
2020/2/4,7.237361,6.9375
2020/2/5,7.234728,6.8125
2020/2/6,7.325863,6.96875
2020/2/7,7.298814,6.78125
2020/2/8,7.013752,6.53125
2020/2/9,6.74862,6.375
2020/2/10,6.6614323,6.84375
2020/2/11,6.8517866,8.03125
2020/2/12,7.7467957,9.6875
2020/2/13,9.414144,11.75
2020/2/14,11.961879,14.09375
2020/2/15,14.300117,13.78125
2020/2/16,13.437961,12.3125
2020/2/17,11.599341,10.90625
2020/2/18,10.157986,9.71875
2020/2/19,9.190924,8.78125
2020/2/20,8.672349,9.75
2020/2/21,9.635778,9.71875
2020/2/22,9.098444,10.03125
2020/2/23,9.506961,11.15625
2020/2/24,10.59534,13.71875
2020/2/25,12.760113,18.375
2020/2/26,16.858057,21.6875
2020/2/27,21.270367,25.34375
2020/2/28,23.99946,27.375
2020/2/29,25.516218,28.5
2020/3/1,26.47265,27.5625
2020/3/2,25.933313,28.75
2020/3/3,26.821486,26.625
2020/3/4,24.598913,23.84375
2020/3/5,22.094273,22.34375
2020/3/6,20.96022,21.4375
2020/3/7,19.944052,19.8125
2020/3/8,19.036306,18.5625
2020/3/9,18.685583,20.78125
2020/3/10,19.420656,19.75
2020/3/11,18.278616,17.59375
