asst,lhnf,sst,Evap,Tran,gp,at,tmax,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,runoff
293.330597,20.2236824,293.330597,0.0000082,0.00000368,944.85,19.98,21.28,19.63,16.97,98.65625,280.60938,333.26562,1705.4688,1978.1562,4192.297
293.422577,35.1911621,293.422577,0.0000143,0.00000518,945.89,21.28,23.6,18.97,17.34,109.296875,310.75,370.51562,1804.0625,2277.6406,4817.1875
292.26001,35.6651535,292.26001,0.0000145,0.00000245,946.47,18.61,19.61,17.7,16.13,115.625,321.21875,384.17188,1775.4844,2382.9531,5020.2344
294.27478,72.706955,294.27478,0.0000295,0.0000125,946.12,19.91,23.32,17.6,17.68,118.71875,326.70312,389.75,1703.2656,2358.9062,4955.9062
293.744659,51.1750946,293.744659,0.0000207,0.00000868,945.47,21.41,24.47,18.67,18.82,109.8125,302.46875,364.125,1591.4688,2251.9688,4740.2812
295.678101,124.651611,295.678101,0.0000505,0.0000268,946.8,21.95,26.24,17.83,18.91,99.59375,274.21875,330.48438,1443.7031,2087,4403.6406
295.208252,67.5656281,295.208252,0.0000274,0.0000137,946.53,22.18,25.69,17.53,19.19,89.625,246.73438,297.6875,1300.5469,1899.5469,4010.0625
295.650299,102.232124,295.650299,0.0000414,0.0000208,944.93,22.71,26.56,18.14,18.69,80.578125,221.89062,267.89062,1171.0625,1718.2656,3615.5938
296.858826,105.13121,296.858826,0.0000426,0.0000201,943.15,23.94,27.75,20.49,18.95,72.96875,200.1875,241.45312,1053.2969,1549.8906,3254.0469
296.09021,48.6953087,296.09021,0.0000197,0.00000624,943.25,22.89,26.62,19.89,19.29,67.265625,185.5,222.75,970.625,1405.1562,2958.3125
295.849731,99.2858276,295.849731,0.0000403,0.0000209,944.98,22.06,26.37,17.69,18.78,61.515625,171.25,206.48438,934.0156,1296.0469,2816.8125
296.349487,67.082077,296.349487,0.0000272,0.0000152,946.67,22.57,26.85,18.74,19.62,55.359375,154.57812,186.70312,874.7031,1216.6094,2767.75
295.659943,94.7308044,295.659943,0.0000384,0.0000167,947.04,22.5,27.72,18.92,19.7,52.109375,145.10938,174.78125,806.34375,1128.1719,2668.3125
296.670624,90.3574753,296.670624,0.0000366,0.0000175,943.97,22.97,26.62,19.96,20.08,49.546875,134.71875,162.03125,768.1094,1043.125,2495.4062
296.506378,48.4420586,296.506378,0.0000196,0.00000765,942.48,23.45,26.11,21,20.22,57.296875,147.4375,175.375,763.6406,988.90625,2347.3594
294.256409,-1.30909634,294.256409,-0.000000531,0.000000165,941.63,21.54,22.61,20.7,19.47,56.921875,148.34375,178.26562,812.53125,1007.5469,2298.0781
294.483063,38.0748215,294.483063,0.0000154,0.00000459,940.54,21.48,25.19,17.74,19.38,61.796875,161.39062,192.21875,828.2969,1074.7969,2403.2188
297.948029,114.682175,297.948029,0.0000465,0.0000255,942.28,24.67,29.01,20.3,19.85,60.734375,161.79688,194.23438,857.25,1111.8594,2514.125
298.154022,117.29258,298.154022,0.0000476,0.0000241,943.6,23.89,27.82,19.99,20.23,55.4375,149.34375,180.76562,891.2969,1148.625,2568.3281
292.291931,50.2049141,292.291931,0.0000204,0.00000417,943.95,19.66,23.18,16.25,15.94,68.90625,191.3125,228.59375,1030.5938,1280.3906,2743.5781
295.188934,105.069702,295.188934,0.0000426,0.0000221,944.72,22.04,27.83,16.9,17.66,71.359375,199.5,244.64062,1159.5,1467.1562,3154.7188
297.406158,151.40274,297.406158,0.0000614,0.000028,945.74,22.31,27.7,16.83,18.91,65.140625,181.82812,224.17188,1101.3906,1536.7344,3398.0156
296.401611,83.1616516,296.401611,0.0000337,0.0000163,944.45,22.93,27.43,19.21,19.38,57.15625,160.95312,197.875,981.8281,1454.75,3284.4219
297.411896,71.7826004,297.411896,0.0000291,0.0000121,943.22,23.96,27.46,21.23,20.29,51.625,145.375,178.39062,866.2344,1311.375,2975.8438
297.140808,39.2653046,297.140808,0.0000159,0.00000551,943.65,23.91,27.66,21.63,21.27,47.703125,135.1875,165.71875,773.3281,1171.7969,2666.3594
298.4505,74.2595978,298.4505,0.0000301,0.0000129,942.9,24.6,28.48,21.2,21.36,43.734375,126.4375,155.71875,724.15625,1063.8281,2451.8906
298.85498,132.368698,298.85498,0.0000537,0.0000225,940.69,26,30.15,22.4,21.16,40.640625,118.890625,146.73438,700.03125,1005.5625,2318.4531
299.927612,145.436646,299.927612,0.000059,0.0000281,939.68,26.68,30.68,23.34,21.85,37.859375,112.671875,139.375,669.8906,975.5,2241.4688
300.6203,129.452011,300.6203,0.0000525,0.0000281,940.66,27.1,31.7,23.52,22.81,36.4375,108.03125,133.53125,635.1719,942.65625,2170.1875
301.038086,107.446869,301.038086,0.0000436,0.0000226,939.69,27.23,32.18,23.66,23.62,33.875,101.734375,126.453125,600.9375,901.3594,2085.9844
300.675415,150.092285,300.675415,0.0000609,0.0000261,939.33,27.61,31.93,22.6,22.58,32.078125,96.609375,120.203125,572.0156,857.21875,1982.8125
295.476318,229.246262,295.476318,0.0000929,0.0000247,948.14,22.98,25.35,20.92,11.72,35.8125,114.296875,140.01562,585.6875,836.03125,1898.4062
293.949036,86.7367935,293.949036,0.0000352,0.0000115,951.37,21.24,22.52,19.54,13.35,34.921875,112.15625,141.09375,624.25,849.3125,1882.8906
292.027039,31.7556343,292.027039,0.0000129,0.00000366,947.88,18.35,20.34,17.26,15.05,35.078125,111,137.32812,602.4531,858.6406,1872.4844
291.079193,7.30789089,291.079193,0.00000296,0.00000034,946.08,17.37,18.12,15.84,15.25,38.671875,123.109375,151.14062,608.1719,856.375,1858.75
288.89975,24.6680241,288.89975,0.00001,0.00000146,950,16.39,18.37,12.96,13.86,45.96875,142.8125,173.875,672.34375,880.71875,1886.2344
290.676758,47.4139175,290.676758,0.0000192,0.00000729,950.63,17.63,21.65,14.21,14.26,44.71875,137.98438,171.01562,721.7969,938,1950.3438
292.928253,52.1628075,292.928253,0.0000211,0.00000932,949.94,19.11,22.38,15.59,15.45,40.5,124.5,154.8125,692.5156,968.375,2023.875
289.620392,20.4657135,289.620392,0.0000083,0.000000607,952.2,16.92,18.2,14.38,13.85,37.304688,113.52344,141,636.64844,932.03906,2054.0078
292.611359,65.5140533,292.611359,0.0000266,0.0000102,952.1,19.14,22.6,15.06,14.49,38.289062,113.96875,138.22656,602.5,875.58594,2017.1016
