asst,sst,at,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,TzkSf,LzSf,JxSf,WsSf,DjtSf,runoff
298.440338,298.440338,25.06,21.94,21.91,60.734375,161.79688,194.23438,857.25,1111.8594,2514.125,2510.8906,3054.7188,3269.3125,7600.0156,7580.1406
300.512299,300.512299,26.99,23.89,22.41,55.4375,149.34375,180.76562,891.2969,1148.625,2568.3281,2574.2969,3186.375,3383.1719,8174.3125,8160.9062
295.113129,295.113129,23.03,21.08,20.42,68.90625,191.3125,228.59375,1030.5938,1280.3906,2743.5781,2715.5781,3376.1719,3515.5156,8555.484,8555.594
296.454865,296.454865,23.1,21.27,19.38,71.359375,199.5,244.64062,1159.5,1467.1562,3154.7188,3105.8906,3874.4688,3795.1875,8939.391,8931
298.04599,298.04599,23.66,21.03,20.52,65.140625,181.82812,224.17188,1101.3906,1536.7344,3398.0156,3401.0469,4347.1406,4315.7188,9806.969,9771.594
299.095062,299.095062,25.21,22.43,21.19,57.15625,160.95312,197.875,981.8281,1454.75,3284.4219,3344.6406,4367.6875,4683.6875,10619.516,10613
298.656281,298.656281,24.74,22.46,20.9,51.625,145.375,178.39062,866.2344,1311.375,2975.8438,3055.6094,4046.3125,4604.7812,10438.625,10492.266
300.353333,300.353333,26.86,22.77,21.49,47.703125,135.1875,165.71875,773.3281,1171.7969,2666.3594,2735.8281,3640.5156,4226.3438,9435.5,9514.922
300.936951,300.936951,27.79,23.18,21.05,43.734375,126.4375,155.71875,724.15625,1063.8281,2451.8906,2497.0781,3304.0938,3802.7031,8334.406,8401.75
301.942535,301.942535,29.26,24.33,20.63,40.640625,118.890625,146.73438,700.03125,1005.5625,2318.4531,2348.4531,3065.7969,3454.4219,7539.7188,7581.578
302.685913,302.685913,30.37,26.21,21.56,37.859375,112.671875,139.375,669.8906,975.5,2241.4688,2265.3906,2906.3438,3215.0156,7060.2188,7088.25
302.846771,302.846771,30.92,25.39,22.57,36.4375,108.03125,133.53125,635.1719,942.65625,2170.1875,2196.6406,2794.0469,3055.5469,6745.3125,6769.0156
303.163757,303.163757,30.69,25.72,22.68,33.875,101.734375,126.453125,600.9375,901.3594,2085.9844,2116.9375,2683.6094,2939.1719,6499.4062,6524.0938
303.532196,303.532196,31.68,26.07,20.88,32.078125,96.609375,120.203125,572.0156,857.21875,1982.8125,2016.0469,2555.4062,2824,6219.922,6250.4844
301.950836,301.950836,29.14,23.31,19.87,35.8125,114.296875,140.01562,585.6875,836.03125,1898.4062,1922.75,2415.9219,2689.2031,5869.125,5904.375
296.594208,296.594208,22.65,20.08,18.15,34.921875,112.15625,141.09375,624.25,849.3125,1882.8906,1892.9375,2311.0625,2546.1719,5514.2188,5547.7812
295.226685,295.226685,22.36,20.22,14.85,35.078125,111,137.32812,602.4531,858.6406,1872.4844,1883.5625,2264.375,2437.6875,5256.0156,5281.9844
