rzsm,cwe,sd,asst,lhnf,sm,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,runoff
207.776413,1.79E-05,0,291.575806,59.5497742,0,291.575806,0,0,2.41E-05,2.14E-06,17.11,19.24,15.47,16.77,36.578125
208.900208,6.76E-06,0,292.962799,77.3383484,0,292.962799,0,0,3.14E-05,1.50E-05,19.08,22.97,15.41,15.56,43.890625
206.481491,2.65E-06,0,293.194916,74.3179245,0,293.194916,0,0,3.01E-05,1.64E-05,19.44,24.61,15.21,14.43,42.203125
204.895828,8.27E-06,0,293.259705,69.4188919,0,293.259705,0,0,2.81E-05,1.08E-05,19.5,22.94,16.95,15.65,38.15625
204.812302,1.47E-05,0,293.281158,63.7725372,0,293.281158,0,0,2.59E-05,5.83E-06,18.59,20.21,17.35,17.25,35.046875
205.137482,1.20E-05,0,294.712189,64.6366043,0,294.712189,0,0,2.62E-05,7.34E-06,20.27,23.21,17.19,18.56,32.796875
205.001831,1.37E-05,0,295.718719,82.7701492,0,295.718719,0,0,3.36E-05,1.10E-05,20.71,25.34,17.75,19.26,31.53125
210.497787,1.48E-05,0,294.617401,68.1478577,0,294.617401,0,0,2.76E-05,6.42E-06,20.01,23.26,17.23,18.97,33.28125
210.994949,6.39E-06,0,297.141937,99.8697281,0,297.141937,0,0,4.05E-05,2.33E-05,22.41,27.12,17.79,18.71,37.25
216.351944,2.13E-05,0,295.021332,104.777344,0,295.021332,0,0,4.25E-05,9.61E-06,21.1,24.58,17.08,19.6,61.953125
229.626038,1.09E-05,0,290.371918,65.2877274,0,290.371918,0,0,2.65E-05,7.65E-06,16.05,19.08,11.58,15.32,83.390625
222.347412,6.90E-07,0,294.082306,162.959717,0,294.082306,0,0,6.61E-05,3.79E-05,20.62,26.71,14.59,12.9,87.359375
215.872192,2.41E-06,0,293.212646,122.164444,0,293.212646,0,0,4.95E-05,2.98E-05,20.6,25.26,15.56,12.53,78.21875
213.719437,9.49E-06,0,290.632782,68.8259888,0,290.632782,0,0,2.79E-05,1.03E-05,17.01,20.28,13.18,13.67,70.671875
212.300995,5.30E-06,0,289.463531,49.2327271,0,289.463531,0,0,2.00E-05,7.72E-06,16.09,21.13,12.17,12.81,63.9375
210.289703,5.40E-07,0,291.143311,62.4540558,0,291.143311,0,0,2.53E-05,1.39E-05,17.86,22.19,13,13.09,57.1875
208.913544,3.28E-06,0,290.890472,47.526474,0,290.890472,0,0,1.93E-05,9.82E-06,17.49,20.9,13.29,14.32,51.390625
207.413345,2.17E-06,0,292.313049,63.4592667,0,292.313049,0,0,2.57E-05,1.49E-05,18.78,23.68,15.04,14.43,46.59375
207.957977,1.02E-05,0,291.24472,45.3749771,0,291.24472,0,0,1.84E-05,3.60E-06,17.26,20.12,14.76,15.93,42.21875
210.736801,1.63E-05,0,291.384827,70.0314865,0,291.384827,0,0,2.84E-05,4.68E-06,16.81,21.11,14.84,15.59,40.09375
212.639969,9.22E-06,0,292.404907,50.3479347,0,292.404907,0,0,2.04E-05,6.11E-06,18.2,20.94,15.34,16.3,43.4375
212.044357,1.17E-05,0,293.855591,63.2357788,0,293.855591,0,0,2.56E-05,6.81E-06,19.27,22.18,16.7,17.25,41.46875
222.348267,1.46E-05,0,292.587799,59.3442078,0,292.587799,0,0,2.41E-05,3.18E-06,17.97,20.84,13.36,17.71,44.03125
223.495819,3.93E-06,0,292.233704,118.203278,0,292.233704,0,0,4.79E-05,2.26E-05,18.66,23.09,15.1,13.85,61.828125
227.104477,1.57E-05,0,289.668854,69.5079803,0,289.668854,0,0,2.82E-05,3.47E-06,15.35,16.98,13.61,14.38,69.578125
226.531586,3.83E-07,0,288.637726,59.5491943,0,288.637726,0,0,2.41E-05,1.05E-05,14.93,18.89,10.51,11.52,84.359375
221.456177,2.13E-09,0,291.276642,85.2672882,0,291.276642,0,0,3.46E-05,2.16E-05,17.89,23.01,12.94,11.69,79.421875
217.788483,1.02E-06,0,292.206329,70.1748962,0,292.206329,0,0,2.85E-05,1.67E-05,18.68,24.03,13.02,14.44,71.046875
215.035873,5.87E-07,0,292.463226,68.0822906,0,292.463226,0,0,2.76E-05,1.56E-05,18.93,23.9,14.02,14.73,63.390625
212.415787,6.28E-08,0,293.139465,79.0021057,0,293.139465,0,0,3.20E-05,1.69E-05,18.37,23.72,11.82,13.67,55.9375
210.333145,5.51E-07,0,293.273743,64.4040527,0,293.273743,0,0,2.61E-05,1.30E-05,18.8,23.59,13.69,15.31,50.421875
208.059082,2.51E-06,0,293.83493,104.970329,0,293.83493,0,0,4.26E-05,1.77E-05,19.23,24.4,14.9,13.37,45.734375
205.596893,8.98E-07,0,293.201385,90.5283813,0,293.201385,0,0,3.67E-05,1.50E-05,18.36,23.23,13.8,13.11,41.375
204.137436,5.33E-06,0,292.379608,68.9360046,0,292.379608,0,0,2.79E-05,1.03E-05,17.78,20.83,14.71,14.48,37.234375
209.609756,1.23E-05,0,290.695374,50.3651352,0,290.695374,0,0,2.04E-05,2.39E-06,16.93,20.13,13.69,15.89,34.1875
213.924561,9.58E-06,0,288.633911,40.5873222,0,288.633911,0,0,1.65E-05,1.83E-06,14.16,15.59,13.16,13.39,40.859375
218.107376,1.08E-05,0,288.899963,39.9998589,0,288.899963,0,0,1.62E-05,1.33E-06,14.13,14.92,13.48,13.93,47.453125
233.808365,1.34E-05,0,287.948914,49.6978302,0,287.948914,0,0,2.01E-05,1.46E-06,13.06,14.99,9.16,12.84,63.671875
229.942841,2.89E-06,0,289.226562,96.6389618,0,289.226562,0,0,3.92E-05,1.76E-05,15.92,21.42,10.99,11.81,81.34375
224.332932,2.38E-07,0,289.427734,89.6188354,0,289.427734,0,0,3.63E-05,1.90E-05,17.31,23.19,11.51,10.85,77.703125
220.2621,2.74E-07,0,291.695557,71.7730789,0,291.695557,0,0,2.91E-05,1.42E-05,17.84,23.27,12.13,13.34,70.05469
220.551468,1.10E-05,0,292.063141,72.0885849,0,292.063141,0,0,2.92E-05,7.25E-06,17.82,20.96,14.24,15.94,63.515625
230.386459,1.03E-05,0,291.45697,42.0038528,0,291.45697,0,0,1.70E-05,2.50E-06,17.06,20.52,15.62,16.61,77.75781
242.042252,1.42E-05,0,291.518799,53.932972,0,291.518799,0,0,2.19E-05,2.65E-06,16.68,18.6,15.35,16.46,106.59375
259.581696,1.35E-05,0,291.116394,62.023674,0,291.116394,0,0,2.51E-05,3.77E-06,15.76,17.39,14.76,15.64,192.48438
271.552856,1.13E-05,0,288.8396,52.9424171,0,288.8396,0,0,2.15E-05,2.88E-06,14.6,16.12,12.81,14.51,264.8828
269.588806,1.03E-05,0,288.75058,39.8369331,0,288.75058,0,0,1.62E-05,2.20E-06,14.28,16.3,12.28,13.98,273.01562
261.293335,1.29E-06,0,289.392578,97.8924255,0,289.392578,0,0,3.97E-05,1.90E-05,15.89,22.26,10.09,11.87,259.0703
251.968048,1.59E-07,0,291.446686,86.0611496,0,291.446686,0,0,3.49E-05,1.86E-05,18.12,23.89,12.29,13.28,230.39844
245.52977,3.35E-06,0,291.261597,76.6089935,0,291.261597,0,0,3.11E-05,1.41E-05,18.2,22.19,14,14.61,204.46094
208.993301,4.74E-07,0,293.414276,77.8415527,0,293.414276,0,0,3.16E-05,1.81E-05,18.8,24.88,13.91,14.25,21.34375
208.043976,5.20E-06,0,293.92453,66.0232773,0,293.92453,0,0,2.68E-05,1.19E-05,19.94,23.86,15.81,16.56,20.53125
213.438705,1.24E-05,0,292.655884,90.1922836,0,292.655884,0,0,3.66E-05,9.94E-06,19.08,25.33,13.27,16.67,19.5625
217.213272,6.22E-06,0,287.71582,50.7095451,0,287.71582,0,0,2.06E-05,4.95E-06,12.55,16.06,8.15,11.63,28.375
214.342834,1.38E-07,0,292.230774,123.548332,0,292.230774,0,0,5.01E-05,2.77E-05,20.51,25.38,14.04,11.7,30.90625
210.272293,5.53E-08,0,294.607483,122.73455,0,294.607483,0,0,4.98E-05,3.15E-05,22.4,27.5,18.13,12.55,28.4375
208.305954,2.04E-06,0,293.121399,71.9908752,0,293.121399,0,0,2.92E-05,1.61E-05,19.96,25.31,15.36,15.07,25.53125
207.147232,3.63E-06,0,293.2211,77.765007,0,293.2211,0,0,3.15E-05,1.60E-05,19.97,25.39,15.12,15.4,22.96875
207.863937,5.98E-06,0,291.014465,55.5396538,0,291.014465,0,0,2.25E-05,8.74E-06,17.43,22.32,12.64,15.1,21.34375
207.68161,2.24E-06,0,292.382751,66.5421448,0,292.382751,0,0,2.70E-05,1.45E-05,17.84,23.65,12.06,14.22,23.0625
208.246918,9.53E-06,0,292.330078,82.4956894,0,292.330078,0,0,3.34E-05,1.25E-05,18.42,22.98,13.9,15.09,23.59375
208.753952,4.98E-06,0,292.456635,95.3128662,0,292.456635,0,0,3.86E-05,1.93E-05,19.73,24.25,15.16,13.33,27.5
205.553436,2.14E-07,0,293.136749,134.059937,0,293.136749,0,0,5.44E-05,3.13E-05,21.7,26.79,16.22,9.67,26.65625
202.142365,8.29E-10,0,294.697144,123.026901,0,294.697144,0,0,4.99E-05,3.09E-05,21.88,27.54,14.2,10.91,24
199.8806,2.66E-09,0,295.292084,108.380943,0,295.292084,0,0,4.39E-05,2.46E-05,20.74,26.4,13.52,13.45,21.5
197.818542,8.57E-10,0,294.929077,106.064331,0,294.929077,0,0,4.30E-05,2.35E-05,20.3,25.89,13.21,13.68,19.28125
196.423508,2.90E-07,0,294.651093,87.5448837,0,294.651093,0,0,3.55E-05,1.91E-05,21.24,25.95,16.12,14.06,17.3125
