asst,sst,at,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,TzkSf,LzSf,JxSf,WsSf,DjtSf,runoff
296.682068,296.682068,23.41,17.83,18.54,14.46875,36.9375,45.5,213.3125,323.09375,874.90625,893.3125,1082.5312,1211.9062,2635.2812,2658.9688
299.342224,299.342224,26.17,21.6,17.34,13.03125,33.625,41.4375,197.46875,298.8125,836.40625,851.78125,1031.5,1164.5,2508.3438,2532.1562
298.48941,298.48941,24.42,21.08,20.32,11.78125,31.28125,38.5625,185.125,283.90625,809.9375,821.65625,988.9375,1116.1875,2395.3125,2418.5625
296.590424,296.590424,23.4,18.5,19.58,17.3125,53.875,59.9375,185.25,282.71875,804.375,809.0625,965.25,1081.4062,2334.7188,2355.1562
299.166718,299.166718,25.16,17.21,19.68,17.71875,58.6875,71.9375,211.65625,280.75,824.78125,820.34375,970.6875,1062.75,2328.8438,2347.8438
290.157867,290.157867,16.64,16.1,13.66,19.71875,62.875,76,234.71875,282.03125,872.125,859.03125,1007.40625,1070,2398,2410.5938
292.477203,292.477203,18.2,16.08,14.56,18.90625,59.6875,74.15625,254.5625,297.09375,955.90625,935.34375,1067.75,1113.5,2626.9375,2627.0938
293.387299,293.387299,19.88,16.75,15.53,17,53.34375,66.59375,256.1875,317.625,1029.0938,1016.46875,1150.9688,1182.25,2978.9062,2970.7812
293.091492,293.091492,18.94,15.09,15.72,15.15625,47.5,59.40625,245.8125,333.9375,1061.8125,1057.2188,1218.7188,1264.5625,3306.3438,3304.5625
291.093384,291.093384,16.89,15.64,14.11,13.5,42.34375,53.03125,230.84375,335.625,1102.5,1092.9375,1254,1336.2188,3507.7812,3518.4375
293.881226,293.881226,19.5,17.78,16.02,12.03125,37.84375,47.4375,214.625,323.53125,1144.5625,1138.4375,1287.0312,1379.9062,3593.7188,3613.75
292.422516,292.422516,18.49,17.12,16.14,11.0625,34.625,43.15625,200.03125,305.0625,1135.875,1144.3438,1313.6875,1410.3438,3610.2188,3635.5938
292.874451,292.874451,18.24,16.97,16.39,11.25,35.4375,43.125,189.09375,287.5625,1090.125,1105.3438,1300.6875,1433.8125,3580.625,3610.5938
293.081055,293.081055,17.71,16.9,15.92,11.65625,36.375,44.6875,184.6875,272.3125,1044.75,1059.0312,1254.625,1428.9062,3490.8438,3524.2188
294.313171,294.313171,20.36,18.1,15.77,11.28125,35.03125,43.4375,189.09375,264.03125,1024.3125,1030.6562,1206.9375,1391.625,3363.1562,3395.5625
294.320496,294.320496,19.36,16.93,16.64,11.4375,35.875,43.8125,195.09375,268.65625,1050.125,1045.5312,1187,1345.9688,3260.25,3287.3438
295.455841,295.455841,21.6,17.97,16.98,11.46875,36.1875,44.5,199.90625,277.90625,1085.75,1079.1875,1205.4375,1318.6875,3209.8438,3231.8125
295.139008,295.139008,20.55,15.79,15.16,12.78125,40.125,48.09375,203.25,280.6875,1119.8125,1113.4375,1237.7188,1318.6875,3182.5,3202.625
290.81012,290.81012,16.55,15.77,15.11,12.53125,39.25,48.375,208.5,284.5625,1155.25,1148.9062,1275.25,1340.125,3169.8125,3188.5625
292.544128,292.544128,17.73,16.11,15.93,11.4375,35.875,44.4375,208.15625,285.84375,1190.1562,1184.8125,1317,1381.6562,3200.5625,3216.9375
292.908569,292.908569,18.58,16.43,16.52,13.1875,40.09375,47.40625,203.625,288.71875,1202.5938,1203.0625,1349.2188,1430,3267.75,3282.5
294.09491,294.09491,20.55,15.7,15.62,13.03125,40.1875,49.0625,213.09375,288.75,1196.3438,1200.25,1356.625,1460.3125,3320.9375,3336.625
297.188934,297.188934,22.91,16.2,16.94,11.75,36.28125,44.75,221.375,283.90625,1186.4062,1191.875,1347.7188,1463.5312,3324.9062,3343.4688
299.904785,299.904785,26.28,20.35,18.99,10.625,32.8125,40.4375,215.5625,282.53125,1172.625,1179.5625,1332.0625,1450.7188,3279.4062,3300.4062
298.30426,298.30426,25.2,21.6,17.22,9.75,30.09375,37.0625,204.1875,281.9375,1155.3125,1163.5,1311.9688,1433.4062,3208.375,3230.1875
295.378387,295.378387,21.58,19.17,19.76,12.71875,45.84375,53.59375,203.59375,289.15625,1151.625,1156.2812,1304.8125,1422.125,3150.9062,3173.9688
294.313385,294.313385,20.47,18.67,17.94,15.09375,55.15625,68.5625,240.96875,305.03125,1188.4062,1180.4062,1332.7188,1434.4375,3166.7812,3187.0312
295.450348,295.450348,21.64,18.7,18.71,14.5,52.0625,66.40625,272.84375,319.1875,1242.75,1232.5,1395.25,1465.625,3258,3272.6562
297.486816,297.486816,23.92,20.26,20.58,13.03125,46.40625,59.5,268.375,338.90625,1278.2188,1274.3438,1464.125,1511.5625,3448.7188,3449.0625
297.958038,297.958038,24.32,21.46,21.13,11.65625,41.34375,53,249.65625,348.46875,1291.7812,1294.5938,1501.6875,1568.2812,3744.6875,3738.0625
292.551361,292.551361,19.64,18.27,16.78,15.6875,57.375,70.28125,275.5625,358.0625,1287.1875,1292.7812,1510.5625,1619.1875,3978.6875,3987.0625
292.258087,292.258087,18.68,17.82,17.47,23.1875,82.625,102.5,476.46875,432.625,1363.875,1336.0625,1519.6875,1653.5312,4059.8125,4088.0312
291.532318,291.532318,19.17,17.23,16.71,24.46875,85.75,110.375,688.375,618.75,1683.4062,1587.25,1630.7812,1691.9688,4087.7188,4122.5312
294.980927,294.980927,21.88,17.22,16.7,22.625,78.25,101.625,693.15625,818.53125,2109.1875,2018.5938,1970.125,1803.2188,4199.4062,4225.0938
297.21698,297.21698,23.66,20.55,17.82,20.375,70.09375,91.15625,624.8125,860.78125,2274.7812,2261.5312,2367.6562,2091.5,4500.4688,4507.5938
295.679199,295.679199,23.08,19.04,17.61,18.40625,63.28125,82.375,552.84375,799.84375,2179.8438,2218.0938,2515.25,2451.7188,4882.9375,4888.9062
293.837677,293.837677,20.77,19.13,17.94,17.15625,61,80.21875,502.5,727.96875,2014.6562,2058.1562,2424.2812,2624.25,5051.1875,5077.8125
294.351074,294.351074,20.49,19.12,18.3,17.875,65.46875,86.15625,497.125,699.15625,1924.0312,1941.9375,2276.5,2585.2812,4980.75,5023.7188
294.964294,294.964294,21.75,17.47,18.3,19.96875,69.40625,90.71875,505.09375,705.875,1926.9688,1923.4375,2201.875,2462.4688,4831.7188,4878.4375
296.545349,296.545349,21.98,19.29,19.08,19.875,66.09375,87.09375,494.78125,706.3125,1947.375,1944.3438,2206.5312,2363.2812,4730.5938,4766.8438
295.719208,295.719208,20.89,19.58,18.99,18.34375,59.875,79.0625,461.46875,686.09375,1952.7812,1958.3125,2229.375,2337.5938,4780.6562,4803.8438
294.284515,294.284515,20.34,18.69,19.16,16.46875,53.625,70.90625,420.15625,647.59375,1916.4688,1933.5625,2225.75,2356.7812,4921.2188,4942.375
293.695374,293.695374,20.29,16.63,18.48,14.96875,48.65625,64.1875,381.9375,603.46875,1845.625,1870.9062,2183.625,2367.6875,5001.4062,5031.7188
295.255524,295.255524,20.39,17.45,17.67,13.875,45,58.90625,348.8125,560.21875,1759.6562,1787.9062,2109.5,2336.25,4937.9062,4978.4062
297.06781,297.06781,23.7,19.76,18.43,12.625,41.03125,53.78125,317.90625,512.71875,1657.2188,1690.6562,2012.8438,2264.7812,4764.5625,4809.1875
299.327515,299.327515,25.17,20.43,20.39,11.34375,37.3125,48.8125,288.65625,467.4375,1539.0938,1575.875,1895.5625,2165.7188,4545.5938,4590.2188
297.4198,297.4198,25.16,20.11,21.47,10.59375,35.78125,46.4375,261.875,425.71875,1418.875,1456,1762.875,2045.5,4298.2812,4343.25
299.629242,299.629242,26.11,20.28,20.93,10,34.78125,44.9375,239.59375,388.15625,1305.4062,1340.6875,1628.9062,1909.875,4020.4375,4066.3125
301.967682,301.967682,28.36,24.16,23.1,9.34375,32.625,42.28125,220.9375,356.21875,1205.5625,1237.9688,1505.7812,1772.125,3772.6562,3843.5625
298.98175,298.98175,24.77,22.1,22.69,9.09375,30.9375,39.71875,204.28125,329.9375,1119.125,1148.6875,1401.4062,1656.5938,3600.7812,3697.7188
297.413544,297.413544,24.53,20.69,21.14,8.84375,29.46875,37.75,191.5625,306.84375,1055.375,1077.6875,1312.1875,1560.7188,3462,3561.9062
298.536133,298.536133,25.2,20.21,22,8.5625,28.5,36.40625,182.59375,285.8125,1028.5938,1040.9375,1241.5625,1470.4375,3290.25,3379.4062
300.295776,300.295776,27.06,23.06,21.99,8.40625,28.0625,35.8125,176.375,271.5625,1007.84375,1019.40625,1198.2812,1392.8125,3120.4062,3197.625
296.814148,296.814148,24.01,21.38,22.19,8.28125,27.6875,35.28125,172.21875,262.96875,978.03125,990.0625,1169.4375,1334.2812,2972.5312,3041.6875
298.316071,298.316071,24.59,21.52,21.79,8.21875,27.34375,34.75,168.625,253.375,947,959.15625,1143.5,1286.6875,2842.8125,2907.9688
298.825287,298.825287,25.12,22.97,22.57,8.15625,27.125,34.4375,165.65625,244.9375,910.375,925.09375,1113.7188,1245.3125,2731.4062,2790.3438
