rzsm,tws,asst,psm,lhnf,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,runoff
265.322327,880.43988,288.32251,880.396057,35.4340744,288.32251,1.44E-05,6.15E-07,13.98,15.42,12.3,13.15,15.6875,57.375,70.28125,275.5625
269.219604,887.359802,288.561218,887.329956,36.6292801,288.561218,1.49E-05,3.58E-06,13.84,17.42,10.4,12.38,23.1875,82.625,102.5,476.46875
264.906342,885.678711,291.052368,885.67511,75.6879425,291.052368,3.07E-05,1.47E-05,17.41,21.01,13.2,12.35,24.46875,85.75,110.375,688.375
260.27298,882.685547,293.240875,882.681824,111.305748,293.240875,4.51E-05,2.01E-05,17.59,22.33,13.11,12.3,22.625,78.25,101.625,693.15625
256.653351,879.772156,292.986542,879.748413,94.4612579,292.986542,3.83E-05,1.45E-05,18.31,22.4,15.28,13.11,20.375,70.09375,91.15625,624.8125
258.855804,882.414185,291.08194,882.386475,65.641655,291.08194,2.66E-05,5.55E-06,16.57,19.82,13.69,14.83,18.40625,63.28125,82.375,552.84375
264.517975,889.258423,289.070648,889.154968,28.400444,289.070648,1.15E-05,6.12E-07,15.04,15.97,14.27,14.45,17.15625,61,80.21875,502.5
273.291199,900.728333,289.935699,900.660583,52.9334564,289.935699,2.15E-05,3.00E-06,15.08,16.05,14.04,14.06,17.875,65.46875,86.15625,497.125
268.518494,898.800659,291.659637,898.784058,108.071152,291.659637,4.38E-05,2.05E-05,18.39,22.99,13.56,11.97,19.96875,69.40625,90.71875,505.09375
264.743774,896.839661,291.662323,896.821106,70.6570587,291.662323,2.86E-05,1.37E-05,16.82,20.29,11.92,13.64,19.875,66.09375,87.09375,494.78125
261.293488,894.376282,293.227844,894.369385,92.6755371,293.227844,3.76E-05,1.82E-05,18.25,22.67,14.3,14.45,18.34375,59.875,79.0625,461.46875
259.137146,892.573853,292.935059,892.563599,59.9194489,292.935059,2.43E-05,9.31E-06,18.15,22.3,14.84,14.63,16.46875,53.625,70.90625,420.15625
257.923706,891.474304,291.224762,891.464294,42.1105156,291.224762,1.71E-05,5.69E-06,16.88,20.09,13.87,14.7,14.96875,48.65625,64.1875,381.9375
256.172668,889.694641,293.739197,889.691345,69.7640533,293.739197,2.83E-05,1.31E-05,19.55,24.7,15.35,14.84,13.875,45,58.90625,348.8125
253.66835,887.001099,296.828949,886.997009,103.712074,296.828949,4.20E-05,1.94E-05,21.92,27.27,18.03,17.06,12.625,41.03125,53.78125,317.90625
251.401901,884.331848,296.109497,884.325806,89.3020401,296.109497,3.62E-05,1.46E-05,21.83,26.27,17.98,17.45,11.34375,37.3125,48.8125,288.65625
249.598099,881.955566,297.397827,881.950745,87.8664017,297.397827,3.56E-05,1.56E-05,22.97,28.12,18.15,17.56,10.59375,35.78125,46.4375,261.875
247.237732,878.863708,298.595062,878.860291,107.668915,298.595062,4.37E-05,1.77E-05,23.66,29.07,18.88,18.15,10,34.78125,44.9375,239.59375
245.748001,876.472046,297.932068,876.46582,77.4072189,297.932068,3.14E-05,1.10E-05,23.59,28.05,19.08,18.48,9.34375,32.625,42.28125,220.9375
243.863464,873.566528,298.183014,873.565735,106.621468,298.183014,4.32E-05,1.48E-05,22.32,27.07,16.32,16.41,9.09375,30.9375,39.71875,204.28125
