asst,lhnf,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,runoff
291.110321,138.308624,291.110321,5.61E-05,1.32E-05,18.22,22.82,14.63,5.42,27.8125,74.40625,86.59375,246.65625,320.0625,771.46875,763.28125
286.712128,47.7396698,286.712128,1.94E-05,3.61E-06,13.74,16.85,8.14,6.72,29.78125,78.90625,97.3125,336,351.21875,838.96875,815.96875
290.137451,86.5732193,290.137451,3.51E-05,1.16E-05,15.81,20.72,11.19,8.96,27.15625,71.375,88.8125,370.21875,403.78125,932.25,901.8125
289.149658,27.857708,289.149658,1.13E-05,2.14E-06,15.45,17.96,12.49,10.63,24.28125,63.5625,79.25,353.96875,452.84375,1021.03125,995.34375
288.313293,68.4853668,288.313293,2.78E-05,5.51E-06,16.09,21.42,10.97,8.58,24.53125,64.125,78.25,332.4375,464.46875,1061.9062,1054.0625
289.450653,94.4719391,289.450653,3.83E-05,1.36E-05,16.62,22.41,10.01,8.56,22.71875,59.78125,74.34375,325.625,450.8125,1057.7188,1062.5312
290.918884,84.2241669,290.918884,3.41E-05,1.35E-05,17.78,23.87,10.32,10.58,20.34375,53.25,66.40625,308,429.3125,1038.0312,1046.9375
294.578278,108.664291,294.578278,4.41E-05,1.99E-05,21.38,26.82,15.18,12.66,18.21875,47.6875,59.4375,281.28125,406.25,1012.96875,1023.875
294.329712,80.9925537,294.329712,3.28E-05,1.34E-05,20.9,26.58,15.6,14.76,16.25,42.78125,53.40625,254.90625,377.875,974.09375,990.28125
294.97702,99.6291733,294.97702,4.04E-05,1.67E-05,21.9,27.94,16.01,16.06,15.65625,39.90625,49.03125,231.71875,349.28125,922.5,942.6875
295.71698,100.050682,295.71698,4.06E-05,1.80E-05,22.91,28.42,16.77,16.85,14.46875,36.9375,45.5,213.3125,323.09375,874.90625,893.3125
297.434265,103.229652,297.434265,4.19E-05,1.84E-05,24.71,28.97,20.49,17.41,13.03125,33.625,41.4375,197.46875,298.8125,836.40625,851.78125
293.126831,-10.0462255,293.126831,-4.07E-06,5.92E-08,21.18,23.21,18.27,19.02,11.78125,31.28125,38.5625,185.125,283.90625,809.9375,821.65625
296.790894,102.175095,296.790894,4.14E-05,1.83E-05,23.69,29.35,18.7,17.92,17.3125,53.875,59.9375,185.25,282.71875,804.375,809.0625
296.090912,188.73262,296.090912,7.65E-05,2.25E-05,23.02,28.11,18.01,10.32,17.71875,58.6875,71.9375,211.65625,280.75,824.78125,820.34375
290.301086,51.3588219,290.301086,2.08E-05,4.38E-06,17,19.12,15.61,11.82,19.71875,62.875,76,234.71875,282.03125,872.125,859.03125
289.756531,11.8846626,289.756531,4.82E-06,7.65E-07,16.32,17.64,15.39,13.25,18.90625,59.6875,74.15625,254.5625,297.09375,955.90625,935.34375
293.369263,63.9373779,293.369263,2.59E-05,8.46E-06,19.43,23.18,16.22,14.13,17,53.34375,66.59375,256.1875,317.625,1029.0938,1016.46875
290.884277,86.1127014,290.884277,3.49E-05,9.31E-06,18.2,23.77,13.97,9.23,15.15625,47.5,59.40625,245.8125,333.9375,1061.8125,1057.2188
291.644623,62.8210106,291.644623,2.55E-05,8.82E-06,16.75,20.45,12.41,12.88,13.5,42.34375,53.03125,230.84375,335.625,1102.5,1092.9375
