ssm,rzsm,tws,asst,psm,sst,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,runoff
5.61118889,281.030151,1944.56201,289.438019,1944.55151,289.438019,6.81E-06,14.64,20.28,8.74,9.97,14.21875,41.78125,52.59375,219.40625,301
5.75687313,281.026062,1944.33826,289.355835,1944.28564,289.355835,3.32E-06,13.8,16.53,11.88,8.27,12.6875,37.40625,47.53125,229.40625,306.53125
5.83940744,282.897034,1945.98914,290.760223,1945.92615,290.760223,2.76E-06,15.66,19.99,12.29,12.85,12.125,35.46875,44.375,221.4375,315.125
5.67570686,284.111755,1947.02246,284.146637,1947.01611,284.146637,3.31E-06,9.15,10.58,7.44,-1.41,13.5625,40.3125,49.21875,214.4375,318.34375
6.1881485,286.485596,1949.26062,279.530151,1949.22876,279.530151,5.74E-07,4.09,7.15,2.18,2.39,13.15625,39.6875,50.1875,217.125,315.78125
5.77663183,288.844635,1951.56543,282.281403,1951.55591,282.281403,4.70E-06,8.89,13.19,3.64,3.64,12.75,40.46875,51.5625,218.5,320.3125
5.72216463,287.450928,1950.21924,284.801483,1950.21594,284.801483,6.30E-06,10.53,14.89,6.28,5.92,13.03125,40.90625,51.875,219.9375,326.1875
5.7204175,286.274078,1949.05676,285.202148,1949.05127,285.202148,4.46E-06,11.52,14.78,7.77,7.51,15.46875,44.90625,54.625,216.71875,323.71875
5.75140476,285.519165,1948.27698,288.442963,1948.26123,288.442963,4.63E-06,14.29,17.98,9.73,10.19,15.46875,44.53125,55.28125,218.6875,317.1875
5.71990776,284.905975,1947.62769,290.50473,1947.58215,290.50473,6.57E-06,15.73,21.5,10.99,11.85,14.09375,40.625,50.8125,215.625,308.125
6.17263222,286.508209,1949.15723,291.153076,1949.10571,291.153076,4.60E-06,16.26,19.76,12.61,13.03,12.625,36.78125,46.03125,204.96875,300.375
6.28992176,295.440674,1958.35229,288.780273,1958.28845,288.780273,1.05E-06,13.89,16.1,11.25,11.58,16.34375,46.34375,54.625,202.40625,301.78125
5.70521021,293.289185,1956.73438,289.832947,1956.73242,289.832947,1.74E-05,14.78,19.71,10.63,4.09,27.8125,74.40625,86.59375,246.65625,320.0625
5.71628666,289.638062,1953.2998,287.531616,1953.29944,287.531616,1.07E-05,12.69,18.71,7.83,6,29.78125,78.90625,97.3125,336,351.21875
5.68611479,287.170502,1950.91223,289.114105,1950.90857,289.114105,1.17E-05,14.96,19.54,9.66,7.8,27.15625,71.375,88.8125,370.21875,403.78125
6.03569889,287.659546,1951.43933,287.858612,1951.3844,287.858612,2.85E-06,13.73,16.36,9.88,10.24,24.28125,63.5625,79.25,353.96875,452.84375
5.6796937,288.453888,1952.2406,287.653687,1952.2356,287.653687,1.12E-05,14.11,19.13,9.33,3.35,24.53125,64.125,78.25,332.4375,464.46875
5.6008954,284.95639,1948.77051,289.280334,1948.77014,289.280334,1.44E-05,15.59,20.6,10.48,6.79,22.71875,59.78125,74.34375,325.625,450.8125
5.57838011,282.368591,1946.08081,290.379486,1946.08069,290.379486,1.28E-05,17.18,22.37,11.35,9.72,20.34375,53.25,66.40625,308,429.3125
5.4854126,279.360199,1942.86914,294.101532,1942.86462,294.101532,1.95E-05,19.9,26.12,12.92,11.06,18.21875,47.6875,59.4375,281.28125,406.25
5.65137529,278.565186,1941.75281,292.663116,1941.73291,292.663116,7.73E-06,17.47,24.07,11.12,14.28,16.25,42.78125,53.40625,254.90625,377.875
5.53661776,277.550751,1940.34753,294.983185,1940.34314,294.983185,1.36E-05,19.67,26.53,14.22,15.38,15.65625,39.90625,49.03125,231.71875,349.28125
5.44790983,275.743042,1938.32886,295.9599,1938.32288,295.9599,1.27E-05,20.67,26.45,15.91,16.33,14.46875,36.9375,45.5,213.3125,323.09375
5.54803896,274.671021,1937.17957,296.483673,1937.16956,296.483673,1.01E-05,21.86,26.21,17.84,17.5,13.03125,33.625,41.4375,197.46875,298.8125
6.34586763,284.5177,1947.17993,292.729431,1947.01062,292.729431,6.71E-08,17.79,20.53,13.64,17.33,11.78125,31.28125,38.5625,185.125,283.90625
5.6288538,284.976624,1947.78418,296.681,1947.77966,296.681,1.80E-05,21.76,28.08,15.85,17.05,17.3125,53.875,59.9375,185.25,282.71875
5.40085173,281.148834,1944.24902,294.319763,1944.24707,294.319763,2.16E-05,18.93,21.39,15.66,7.39,17.71875,58.6875,71.9375,211.65625,280.75
5.57173014,278.45697,1941.69397,290.27771,1941.68286,290.27771,8.58E-06,16.44,20.03,13.77,10.42,19.71875,62.875,76,234.71875,282.03125
5.88148451,279.776703,1943.11914,289.545105,1943.03125,289.545105,2.09E-06,14.83,15.96,13.82,13.44,18.90625,59.6875,74.15625,254.5625,297.09375
5.72762203,282.247223,1945.65515,292.684021,1945.63818,292.684021,8.16E-06,18.51,23.65,14.55,14.29,17,53.34375,66.59375,256.1875,317.625
5.56597376,280.986084,1944.56848,289.210754,1944.56458,289.210754,9.69E-06,14.06,18.69,11.34,8.45,15.15625,47.5,59.40625,245.8125,333.9375
5.58220053,279.632446,1943.34241,291.164154,1943.33545,291.164154,9.22E-06,16.61,20.88,12.44,12.35,13.5,42.34375,53.03125,230.84375,335.625
5.69797945,279.434479,1943.26526,291.696625,1943.20764,291.696625,6.19E-06,18.14,21.3,15.22,13.72,12.03125,37.84375,47.4375,214.625,323.53125
5.84329081,281.874359,1945.85352,290.454834,1945.7395,290.454834,1.65E-06,16.46,18.31,15.02,13.97,11.0625,34.625,43.15625,200.03125,305.0625
5.69095945,282.639557,1946.69983,290.499817,1946.68738,290.499817,4.88E-06,16.47,19.9,14.48,12.27,11.25,35.4375,43.125,189.09375,287.5625
5.67457533,281.474548,1945.75403,291.969238,1945.70947,291.969238,1.02E-05,17.41,21.31,14.62,13.17,11.65625,36.375,44.6875,184.6875,272.3125
6.15118265,285.016968,1949.54907,290.520508,1949.41992,290.520508,7.05E-07,14.99,15.5,14.52,14.6,11.28125,35.03125,43.4375,189.09375,264.03125
5.89974451,289.178833,1953.97839,290.928925,1953.93811,290.928925,4.06E-06,15.24,17.86,11.91,14.09,11.4375,35.875,43.8125,195.09375,268.65625
5.72124147,288.031708,1953.24426,291.799438,1953.24011,291.799438,1.29E-05,17.14,21.89,13.42,9.94,11.46875,36.1875,44.5,199.90625,277.90625
5.61492777,284.095306,1949.68359,291.500732,1949.67786,291.500732,2.26E-05,15.58,19.68,12.95,8.84,12.78125,40.125,48.09375,203.25,280.6875
5.67068005,281.93576,1947.78674,292.97583,1947.75708,292.97583,1.73E-05,16.99,20.7,14.35,11.96,12.53125,39.25,48.375,208.5,284.5625
6.10100079,285.687744,1951.83618,290.596863,1951.67871,290.596863,5.55E-07,15.13,15.87,14.6,14.44,11.4375,35.875,44.4375,208.15625,285.84375
5.62879467,285.766327,1952.08679,292.881989,1952.08508,292.881989,1.91E-05,17.65,21.9,14.18,13.79,13.1875,40.09375,47.40625,203.625,288.71875
5.51333475,281.653656,1948.26599,295.530487,1948.2655,295.530487,2.80E-05,20.6,26.38,14.94,13.96,13.03125,40.1875,49.0625,213.09375,288.75
5.45695496,278.106659,1944.83167,296.670471,1944.83142,296.670471,2.24E-05,21.85,27.5,17.12,16.06,11.75,36.28125,44.75,221.375,283.90625
5.33680534,274.628662,1941.32263,299.02301,1941.32056,299.02301,2.46E-05,23.92,29.23,18.8,17.48,10.625,32.8125,40.4375,215.5625,282.53125
6.44254827,279.011627,1945.43579,295.76825,1945.29492,295.76825,1.08E-05,22.5,28.86,17.96,18.03,9.75,30.09375,37.0625,204.1875,281.9375
6.29003859,291.459656,1957.82385,292.428864,1957.79297,292.428864,9.32E-06,17.53,20.01,15.01,13.57,12.71875,45.84375,53.59375,203.59375,289.15625
5.79202747,291.462799,1958.4104,294.638519,1958.40576,294.638519,2.34E-05,20.99,26.15,16.16,16.13,15.09375,55.15625,68.5625,240.96875,305.03125
5.69808197,287.884888,1955.3291,296.279083,1955.32666,296.279083,2.71E-05,21.58,26.32,16.33,17.06,14.5,52.0625,66.40625,272.84375,319.1875
5.63278103,284.591888,1952.4093,296.63324,1952.4054,296.63324,2.41E-05,22.51,27.37,18.18,17,13.03125,46.40625,59.5,268.375,338.90625
6.24456549,287.042999,1955.14819,295.783264,1955.09521,295.783264,8.45E-06,21.07,24.48,18.29,19.15,11.65625,41.34375,53,249.65625,348.46875
6.61278772,297.428131,1966.3175,291.520386,1966.08752,291.520386,1.20E-07,16.65,18.84,14.46,15.9,15.6875,57.375,70.28125,275.5625,358.0625
6.09167099,301.348938,1971.64795,291.298462,1971.61829,291.298462,6.93E-06,15.93,19.11,13.33,14.32,23.1875,82.625,102.5,476.46875,432.625
5.93287945,297.906311,1969.88696,292.548676,1969.87744,292.548676,2.02E-05,19.03,23.45,14.72,14.43,24.46875,85.75,110.375,688.375,618.75
5.80516243,293.745209,1966.93274,294.935364,1966.92957,294.935364,3.01E-05,20.04,24.79,14.81,14.95,22.625,78.25,101.625,693.15625,818.53125
5.81049442,290.405273,1964.40198,294.628204,1964.38574,294.628204,2.22E-05,21.02,24.85,17.14,15.71,20.375,70.09375,91.15625,624.8125,860.78125
6.41215181,295.711182,1970.62671,293.012573,1970.526,293.012573,5.30E-06,18.99,21.95,16.2,17.19,18.40625,63.28125,82.375,552.84375,799.84375
6.85442734,303.818512,1980.39233,291.28186,1980.1261,291.28186,1.69E-07,16.99,18.22,15.9,16.62,17.15625,61,80.21875,502.5,727.96875
6.40262651,311.975861,1991.01746,292.553558,1990.98584,292.553558,4.71E-06,16.98,18.5,15.08,16.13,17.875,65.46875,86.15625,497.125,699.15625
6.01213884,305.83902,1987.61621,294.996552,1987.61316,294.996552,3.90E-05,21.37,26.4,15.19,14.65,19.96875,69.40625,90.71875,505.09375,705.875
6.0806942,302.133392,1986.02942,293.360321,1985.91113,293.360321,1.39E-05,18.37,22.95,14.25,16.61,19.875,66.09375,87.09375,494.78125,706.3125
5.96283674,298.812164,1984.21167,295.522827,1984.203,295.522827,2.90E-05,21.24,25.65,16.28,17.28,18.34375,59.875,79.0625,461.46875,686.09375
