asst,lhnf,sst,Evap,Tran,gp,at,tmax,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,runoff
290.204803,27.8766537,290.204803,1.13E-05,1.25E-06,945.05,17.65,19.92,15.68,13.5,11.25,35.4375,43.125,189.09375,287.5625,1090.125
291.322327,49.7127838,291.322327,2.02E-05,5.88E-06,945.59,17.29,20.64,15.14,12.23,11.65625,36.375,44.6875,184.6875,272.3125,1044.75
290.835754,9.39526272,290.835754,3.81E-06,7.30E-07,941.6,16.11,16.9,15.32,14.72,11.28125,35.03125,43.4375,189.09375,264.03125,1024.3125
290.427307,23.9564934,290.427307,9.71E-06,1.79E-06,942.54,17.01,19.68,13.82,14.83,11.4375,35.875,43.8125,195.09375,268.65625,1050.125
292.117371,101.804054,292.117371,4.13E-05,9.16E-06,943.28,18.77,22.83,15.12,10.44,11.46875,36.1875,44.5,199.90625,277.90625,1085.75
291.781799,120.976318,291.781799,4.90E-05,1.82E-05,944.95,17.54,21.55,14.19,7.97,12.78125,40.125,48.09375,203.25,280.6875,1119.8125
292.436066,59.9431267,292.436066,2.43E-05,9.14E-06,944.64,16.48,18.81,15,12.24,12.53125,39.25,48.375,208.5,284.5625,1155.25
290.741669,-2.72735906,290.741669,-1.11E-06,1.13E-07,942.91,16.04,16.5,15.35,14.73,11.4375,35.875,44.4375,208.15625,285.84375,1190.1562
291.951233,68.6481476,291.951233,2.78E-05,9.83E-06,943.03,18.47,22.31,13.92,14.36,13.1875,40.09375,47.40625,203.625,288.71875,1202.5938
294.231781,126.579292,294.231781,5.13E-05,2.62E-05,940.93,21.45,26.93,15.56,14.23,13.03125,40.1875,49.0625,213.09375,288.75,1196.3438
295.925232,128.123291,295.925232,5.19E-05,2.66E-05,939.88,22.27,28.32,15.65,16.09,11.75,36.28125,44.75,221.375,283.90625,1186.4062
297.887421,147.352554,297.887421,5.97E-05,3.02E-05,937.4,24.98,30.27,20.31,17.49,10.625,32.8125,40.4375,215.5625,282.53125,1172.625
295.853455,77.0266418,295.853455,3.12E-05,1.48E-05,937.18,23.02,30.28,18.02,17.37,9.75,30.09375,37.0625,204.1875,281.9375,1155.3125
291.988708,48.856781,291.988708,1.98E-05,3.83E-06,941.37,19.2,22.28,16.69,13.69,12.71875,45.84375,53.59375,203.59375,289.15625,1151.625
