rzsm,sd,asst,lhnf,sm,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,FengRO,runoff
193.997803,0,287.671997,33.0120735,0,287.671997,0,0,1.34E-05,1.31E-06,12.9,16.31,9.66,10.39,11.25,35.4375
194.448898,0,289.548553,44.3813248,0,289.548553,0,0,1.80E-05,4.57E-06,13.42,17.11,10.37,9.48,11.65625,36.375
196.047592,0,287.786255,25.5818348,0,287.786255,0,0,1.04E-05,7.06E-07,12.24,13.75,10.98,10.08,11.28125,35.03125
199.70575,0,286.577148,18.5211105,0,286.577148,0,0,7.51E-06,3.81E-07,11.69,14.48,8.55,10.69,11.4375,35.875
199.97348,0,287.128845,56.2974205,0,287.128845,0,0,2.28E-05,3.81E-06,10.93,17.34,5,7.72,11.46875,36.1875
198.742355,0,287.65686,59.2127762,0,287.65686,0,0,2.40E-05,9.43E-06,12.35,16.75,7.73,4.64,12.78125,40.125
196.08223,0,291.062836,82.9093323,0,291.062836,0,0,3.36E-05,1.57E-05,15.35,20.41,9.88,7.03,12.53125,39.25
197.112061,0,288.479767,31.6128693,0,288.479767,0,0,1.28E-05,1.35E-06,12.72,14.32,11.02,10.19,11.4375,35.875
197.157242,0,288.539307,57.2820015,0,288.539307,0,0,2.32E-05,7.55E-06,14.59,18.16,10.53,8.16,13.1875,40.09375
194.596725,0,291.885925,83.8794022,0,291.885925,0,0,3.40E-05,1.81E-05,16.51,22.58,8.97,9.18,13.03125,40.1875
192.208923,0,293.607239,79.0679779,0,293.607239,0,0,3.21E-05,1.70E-05,18.16,24.26,11.75,12.26,11.75,36.28125
190.056076,0,295.38147,82.3707275,0,295.38147,0,0,3.34E-05,1.64E-05,18.85,24.42,13.21,13.32,10.625,32.8125
190.904175,0,294.038422,75.7256775,0,294.038422,0,0,3.07E-05,9.70E-06,19.2,24.88,11.79,14.63,9.75,30.09375
199.230957,0,288.316833,41.8745232,0,288.316833,0,0,1.70E-05,1.32E-06,12.89,14.63,11.04,10.86,12.71875,45.84375
198.640854,0,290.920105,70.2761765,0,290.920105,0,0,2.85E-05,1.28E-05,16.01,22.1,10.14,10.43,15.09375,55.15625
195.89975,0,293.508911,79.7519989,0,293.508911,0,0,3.23E-05,1.82E-05,17.35,22.54,12.84,12.48,14.5,52.0625
193.548279,0,294.133331,78.28228,0,294.133331,0,0,3.17E-05,1.73E-05,18.55,23.57,12.21,12.82,13.03125,46.40625
195.110748,0,293.458069,99.6066132,0,293.458069,0,0,4.04E-05,1.10E-05,17.4,22.92,12.57,14.96,11.65625,41.34375
203.503769,0,287.346161,29.9013443,0,287.346161,0,0,1.21E-05,4.00E-07,12.23,14.22,10.82,11.67,15.6875,57.375
206.693695,0,287.31134,33.4493675,0,287.31134,0,0,1.36E-05,1.54E-06,12.51,16.06,8.77,10.43,23.1875,82.625
203.572906,0,291.132202,75.0918427,0,291.132202,0,0,3.04E-05,1.59E-05,16.29,20.65,11.06,10.06,24.46875,85.75
199.772049,0,292.209106,98.3741837,0,292.209106,0,0,3.99E-05,2.31E-05,16.2,21.51,9.14,10.2,22.625,78.25
197.148773,0,292.857391,81.8274994,0,292.857391,0,0,3.32E-05,1.68E-05,16.55,21.5,11.05,11.58,20.375,70.09375
198.459534,0,291.107635,70.5045853,0,291.107635,0,0,2.86E-05,6.74E-06,15.82,19.75,12.54,13.13,18.40625,63.28125
202.303833,0,289.233093,36.9961624,0,289.233093,0,0,1.50E-05,1.15E-06,14.75,17.14,13.35,13.3,17.15625,61
211.738037,0,288.75766,29.9557381,0,288.75766,0,0,1.21E-05,6.50E-07,14.3,16.2,12.69,13.24,17.875,65.46875
209.467941,0,289.81131,78.2086487,0,289.81131,0,0,3.17E-05,1.23E-05,15.26,19.69,10.92,10.81,19.96875,69.40625
205.874924,0,291.056061,74.5416107,0,291.056061,0,0,3.02E-05,1.67E-05,15.64,19.84,10.68,10.88,19.875,66.09375
202.257492,0,292.577515,92.7069702,0,292.577515,0,0,3.76E-05,2.30E-05,17.09,22.13,11.19,11.92,18.34375,59.875
199.767517,0,292.793457,72.5570068,0,292.793457,0,0,2.94E-05,1.58E-05,17.76,21.78,13.02,12.96,16.46875,53.625
198.781677,0,290.363739,35.622364,0,290.363739,0,0,1.44E-05,5.98E-06,16.46,19.81,12.04,13.7,14.96875,48.65625
196.877502,0,293.364899,76.2948837,0,293.364899,0,0,3.09E-05,1.90E-05,18.74,23.93,12.87,13.64,13.875,45
194.206375,0,295.8284,102.686295,0,295.8284,0,0,4.16E-05,2.72E-05,20.65,26.92,14.03,15.33,12.625,41.03125
191.901947,0,295.809998,94.4995117,0,295.809998,0,0,3.83E-05,2.32E-05,19.97,25.28,14.21,16.33,11.34375,37.3125
189.824875,0,296.265778,94.4867249,0,296.265778,0,0,3.83E-05,2.42E-05,20.7,26.95,14.54,16.39,10.59375,35.78125
187.385544,0,297.259857,112.557777,0,297.259857,0,0,4.56E-05,2.88E-05,21.8,27.99,14.09,15.42,10,34.78125
185.895615,0,297.934784,74.7796249,0,297.934784,0,0,3.03E-05,1.85E-05,22.75,27.04,17.92,16.57,9.34375,32.625
184.193893,0,296.281281,98.1819916,0,296.281281,0,0,3.98E-05,2.24E-05,21.53,26.29,16.36,13.89,9.09375,30.9375
182.390778,0,296.7995,93.9319611,0,296.7995,0,0,3.81E-05,2.31E-05,21.31,28.33,13.52,13.02,8.84375,29.46875
181.60965,0,296.391418,83.8685684,0,296.391418,0,0,3.40E-05,1.74E-05,20.25,25.56,14.74,15.23,8.5625,28.5
181.319672,0,296.494934,72.3504868,0,296.494934,0,0,2.93E-05,1.48E-05,20.76,25.41,15.8,16.14,8.40625,28.0625
180.706284,0,296.655792,74.9366302,0,296.655792,0,0,3.04E-05,1.61E-05,20.45,25.08,14.43,15.84,8.28125,27.6875
181.194244,0,295.855621,75.1737595,0,295.855621,0,0,3.05E-05,1.18E-05,20.91,25.89,15.84,16.22,8.21875,27.34375
182.795181,0,294.609253,66.9543991,0,294.609253,0,0,2.71E-05,5.97E-06,19.22,22.42,16.17,15.99,8.15625,27.125
186.099609,0,292.233032,48.4041023,0,292.233032,0,0,1.96E-05,1.72E-06,17.67,19.71,15.83,15.19,8.1875,27.28125
189.224487,0,293.179565,36.3492737,0,293.179565,0,0,1.47E-05,1.74E-06,17.84,19.39,16.59,15.89,8.21875,27.78125
191.728119,0,294.061829,37.8828201,0,294.061829,0,0,1.54E-05,2.55E-06,18.88,21.26,17.29,17.43,8.28125,28
194.407028,0,295.590088,56.2132339,0,295.590088,0,0,2.28E-05,5.24E-06,19.55,22.12,17.64,18.53,10.453125,30.5
201.205566,0,295.395264,55.2895279,0,295.395264,0,0,2.24E-05,4.20E-06,19.97,22.19,17.94,18.36,14.171875,37.984375
205.238327,0,295.162079,49.2910652,0,295.162079,0,0,2.00E-05,4.50E-06,20.81,23.67,18.48,19.01,24.203125,52.15625
213.185989,0,294.06131,40.466465,0,294.06131,0,0,1.64E-05,2.35E-06,19.33,22.11,15.28,18.32,29.875,60.859375
211.163101,0,295.904633,122.484375,0,295.904633,0,0,4.97E-05,2.41E-05,20.76,27.11,17.76,16.37,34.890625,67.8125
207.238571,0,296.541779,106.011169,0,296.541779,0,0,4.30E-05,2.35E-05,21.2,24.97,17.33,16.45,34.078125,66.171875
201.072449,0,297.369873,150.674179,0,297.369873,0,0,6.11E-05,4.41E-05,23.33,29.95,16.3,16.33,30.90625,60.234375
196.525803,0,298.775787,125.295784,0,298.775787,0,0,5.08E-05,3.49E-05,23.56,28.69,19,18.45,27.78125,54.421875
197.158035,0,297.733765,79.0211716,0,297.733765,0,0,3.20E-05,1.10E-05,21.85,24.45,18.75,20.08,24.984375,49.625
198.734024,0,297.062592,112.297256,0,297.062592,0,0,4.55E-05,2.08E-05,22.55,27.44,18,17.94,30.484375,60.8125
197.546005,0,292.968079,66.9133759,0,292.968079,0,0,2.71E-05,9.79E-06,17.92,23.46,12.17,15.96,30.25,62.046875
194.73262,0,296.451233,119.632423,0,296.451233,0,0,4.85E-05,3.35E-05,20.9,27.9,14.27,14.3,30.328125,62.328125
191.344055,0,297.399841,108.923409,0,297.399841,0,0,4.42E-05,3.09E-05,21.89,27.46,14.92,16.16,28.109375,58.375
