rzsm,sd,asst,lhnf,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,runoff
196.907715,0,286.482849,64.4997559,286.482849,0,0,2.62E-05,5.64E-06,11.22,16.37,5.87,3.93,27.15625,71.375,88.8125
196.510956,0,285.418213,45.2548218,285.418213,0,0,1.83E-05,2.55E-06,10.76,14.2,7.28,6.67,24.28125,63.5625,79.25
196.373322,0,283.227966,83.8151855,283.227966,0,0,3.40E-05,5.37E-06,9.03,14.41,2.66,-2.51,24.53125,64.125,78.25
194.148743,0,285.408234,51.8440819,285.408234,0,0,2.10E-05,4.91E-06,11.08,16.19,4.85,1.85,22.71875,59.78125,74.34375
192.739258,0,288.260468,57.0974388,288.260468,0,0,2.31E-05,5.18E-06,13.27,19.27,4.16,6.07,20.34375,53.25,66.40625
190.803818,0,289.531281,63.629467,289.531281,0,0,2.58E-05,6.80E-06,14.9,21.23,7.63,4.34,18.21875,47.6875,59.4375
190.29364,0,290.503235,49.8296776,290.503235,0,0,2.02E-05,4.46E-06,15.48,21.9,9.02,9.65,16.25,42.78125,53.40625
189.608383,0,292.580872,66.8373413,292.580872,0,0,2.71E-05,6.71E-06,16.32,23.43,9.03,8.14,15.65625,39.90625,49.03125
188.455704,0,293.53952,61.1605835,293.53952,0,0,2.48E-05,6.59E-06,16.99,23.79,11.27,11.02,14.46875,36.9375,45.5
187.868927,0,293.645477,57.052002,293.645477,0,0,2.31E-05,5.17E-06,18.69,23.25,13.85,13.99,13.03125,33.625,41.4375
192.81842,0,290.090607,19.1524849,290.090607,0,0,7.77E-06,3.05E-07,15.45,19.04,11.82,14.6,11.78125,31.28125,38.5625
192.972549,0,294.519806,66.7955704,294.519806,0,0,2.71E-05,6.60E-06,18.92,24.55,13.1,12.67,17.3125,53.875,59.9375
191.574966,0,289.080627,70.2871323,289.080627,0,0,2.85E-05,4.21E-06,13.17,16.62,9.87,6.72,17.71875,58.6875,71.9375
191.009613,0,288.600433,47.4024544,288.600433,0,0,1.92E-05,5.41E-06,13.95,19.63,9.65,7.96,19.71875,62.875,76
190.916367,0,288.541809,33.5269432,288.541809,0,0,1.36E-05,3.07E-06,13.48,15.6,10.62,9.19,18.90625,59.6875,74.15625
190.812943,0,291.42926,51.7922821,291.42926,0,0,2.10E-05,4.73E-06,16.38,21.84,10.84,10.84,17,53.34375,66.59375
189.589386,0,287.447449,47.8661423,287.447449,0,0,1.94E-05,4.13E-06,11.33,13.72,8.45,2.75,15.15625,47.5,59.40625
188.375397,0,289.646393,55.7502632,289.646393,0,0,2.26E-05,6.81E-06,14.55,19.95,10.24,8.64,13.5,42.34375,53.03125
187.976685,0,289.756805,51.2952919,289.756805,0,0,2.08E-05,4.49E-06,15.63,19.25,12.8,10.53,12.03125,37.84375,47.4375
190.182083,0,287.379211,28.8656559,287.379211,0,0,1.17E-05,9.25E-07,13.77,15.9,11.74,11.3,11.0625,34.625,43.15625
